chr	peakStart	peakEnd	Gene ID	Gene Name	control score	treat score	fold change	p-value	q-value
chr6	33180251	33180350	ENSG00000204227	RING1	0.9441855159155095	0.867983349566569	0.9192932267393948	0.0	0.0
chr6	33267576	33267675	ENSG00000231925	TAPBP	0.9613541952904446	0.9462196573931158	0.9842570636592932	0.0	0.0
chr6	33267851	33267900	ENSG00000231925	TAPBP	0.5328966884017454	0.5671241958674725	1.0642291615066735	0.0	0.0
chr6	33283026	33283050	ENSG00000236104	ZBTB22	0.650741566975589	0.6857559340950106	1.053806870340488	0.0	0.0
chr6	33283526	33283550	ENSG00000236104	ZBTB22	0.42842692100825913	0.5089688260825026	1.1879945006366461	0.0	0.0
chr6	33663751	33663850	ENSG00000096433	ITPR3	0.9411945640946818	0.9090236180346892	0.9658190269182683	0.0	0.0
chr6	34826426	34826575	ENSG00000065060	UHRF1BP1	0.9444248752742627	0.006115021173481415	0.006474862462411954	0.0	0.0
chr6	35801201	35801275	ENSG00000197753	LHFPL5	0.41827255692777815	0.46570809526531515	1.1134082013076645	0.0	0.0
chr6	35802801	35802900	ENSG00000096063	SRPK1	0.9297361866157068	0.8804998326365847	0.9470426614690074	0.0	0.0
chr6	36454826	36454950	ENSG00000112078	KCTD20	0.9354211448850858	0.3088170572732003	0.3301369217082833	0.0	0.0
chr6	36462126	36462225	ENSG00000112079	STK38	0.8474253795737219	0.8743582310868973	1.0317819741565013	0.0	0.0
chr6	36462626	36462775	ENSG00000112079	STK38	0.9318992083753063	0.8692375374873331	0.9327591757511857	0.0	0.0
chr6	36462901	36463000	ENSG00000112079	STK38	0.9108784998027263	0.9286677332022221	1.019529754411097	0.0	0.0
chr6	36463051	36463150	ENSG00000112079	STK38	0.7993800503188714	0.8475412900694261	1.0602482382833338	0.0	0.0
chr6	36463251	36463300	ENSG00000112079	STK38	0.7930246041851525	0.011703446402402786	0.014757986499584453	0.0	0.0
chr6	36463351	36463425	ENSG00000112079	STK38	0.8999916071426913	0.009240732987267386	0.01026757684619418	0.0	0.0
chr6	36652151	36652225	ENSG00000124762	CDKN1A	0.80054681497398	0.7106729162109752	0.8877343622110021	0.0	0.0
chr6	38644951	38645025	ENSG00000124767	GLO1	0.9414596766463696	0.8074021203398609	0.857606693486817	0.0	0.0
chr6	41065326	41065425	ENSG00000124596	OARD1	0.9391152102080402	0.4353259001187846	0.46354898247505516	0.0	0.0
chr6	41065551	41065675	ENSG00000001167	NFYA	0.8624481204037615	0.7610667765728912	0.882449342247499	0.0	0.0
chr6	41065701	41065775	ENSG00000001167	NFYA	0.7314149841322284	0.27662169137840165	0.3782007442828007	0.0	0.0
chr6	41065901	41065975	ENSG00000001167	NFYA	0.7161346380373613	0.029471057854819033	0.04115295684563928	0.0	0.0
chr6	41066001	41066100	ENSG00000001167	NFYA	0.8094366003087146	0.04444079577999708	0.054903368297217606	0.0	0.0
chr6	41066301	41066350	ENSG00000001167	NFYA	0.7070113603193806	0.7877276924320001	1.1141655377024737	0.0	0.0
chr6	41066476	41066575	ENSG00000001167	NFYA	0.7047925079736935	0.8430160609161325	1.196119498119861	0.0	0.0
chr6	41874676	41874775	ENSG00000124641	MED20	0.8025425047881513	0.006126696289397566	0.00763410816604018	0.0	0.0
chr6	41900251	41900400	ENSG00000112578	BYSL	0.8075015848365362	0.6543566036823021	0.810347144785808	0.0	0.0
chr6	41900451	41900625	ENSG00000112578	BYSL	0.9214393640487032	0.8706380550459232	0.9448674421943896	0.0	0.0
chr6	41908126	41908175	ENSG00000112576	CCND3	0.9097051561769937	0.8586952274137812	0.9439269653284368	0.0	0.0
chr6	42713101	42713200	ENSG00000124659	TBCC	0.9227797843503739	0.871949619810751	0.9449162569427042	0.0	0.0
chr6	43147026	43147125	ENSG00000112658	SRF	0.9263568220913961	0.852683992872377	0.9204703549840642	0.0	0.0
chr6	43479676	43479875	ENSG00000171453	POLR1C	0.955936964654884	0.003890146160460634	0.004069458870507293	0.0	0.0
chr6	43589276	43589400	ENSG00000172432	GTPBP2	0.8893029869594777	0.009536257571024675	0.010723294210029688	0.0	0.0
chr6	43603576	43603625	ENSG00000124688	MAD2L1BP	0.6649079643211281	0.7225328761178843	1.0866659972340553	0.0	0.0
chr6	43607826	43607950	ENSG00000124688	MAD2L1BP	0.863843174759618	0.789059938130942	0.9134296145252453	0.0	0.0
chr6	43608076	43608275	ENSG00000124688	MAD2L1BP	0.8886610065588013	0.7023592681146131	0.7903567985213933	0.0	0.0
chr6	43608401	43608500	ENSG00000124688	MAD2L1BP	0.8999635795373156	0.9272246569471484	1.030291311814916	0.0	0.0
chr6	43608601	43608675	ENSG00000124688	MAD2L1BP	0.7216418025833767	0.7948686627723918	1.1014725864367518	0.0	0.0
chr6	43639301	43639425	ENSG00000172426	RSPH9	0.9744676622268017	0.9496675487345058	0.9745500908304909	0.0	0.0
chr6	43752751	43752850	ENSG00000112715	VEGFA	0.8972295618360799	0.8245046991986484	0.9189450886029567	0.0	0.0
chr6	44122651	44122725	ENSG00000137216	TMEM63B	0.9340730556289165	0.72681954645928	0.7781185230419781	0.0	0.0
chr6	44201251	44201325	ENSG00000112759	SLC29A1	0.8699890705928964	0.7900514268563955	0.908116496587683	0.0	0.0
chr6	44218101	44218200	ENSG00000096384	HSP90AB1	0.32647990485280026	0.0016777971890009344	0.005139051941825949	0.0	0.0
chr6	47199626	47199750	ENSG00000146072	TNFRSF21	0.9489815424568211	0.9577748359379123	1.0092660321488722	0.0	0.0
chr6	47200501	47200625	ENSG00000146072	TNFRSF21	0.9047563153252941	0.9217224027105404	1.0187521071672723	0.0	0.0
chr6	47251751	47252025	ENSG00000146072	TNFRSF21	0.905831964104393	0.7469213998945179	0.8245694891469281	0.0	0.0
chr6	47252051	47252150	ENSG00000146072	TNFRSF21	0.9097247777356616	0.7310427543458666	0.8035867245096466	0.0	0.0
chr6	47253501	47253525	ENSG00000146072	TNFRSF21	0.35175148369797776	0.3070500399704217	0.8729175403679666	0.0	0.0
chr6	47253801	47253975	ENSG00000146072	TNFRSF21	0.9164934507654372	0.899569827929199	0.9815343766809203	0.0	0.0
chr6	47254001	47254175	ENSG00000146072	TNFRSF21	0.9290219977494193	0.9121523469437148	0.9818414947691533	0.0	0.0
chr6	49519176	49519250	ENSG00000197261	C6orf141	0.7797613798230025	0.06023620649370604	0.07724953819510658	0.0	0.0
chr6	52367276	52367375	ENSG00000096093	EFHC1	0.9558516699994393	0.41554546696391204	0.4347384432190779	0.0	0.0
chr6	56417101	56417200	ENSG00000151914	DST	0.9074718450886585	0.006459014473567302	0.007117592141865588	0.0	0.0
chr6	56420326	56420500	ENSG00000151914	DST	0.9173130061180791	0.8966257513328192	0.9774479870586322	0.0	0.0
chr6	57048851	57048950	ENSG00000112208	BAG2	0.9389542681825526	0.9106106648070689	0.9698136487197127	0.0	0.0
chr6	63989701	63989900	ENSG00000146166	LGSN	0.9521218095067713	0.9076341959524316	0.9532752919740535	0.0	0.0
chr6	64151751	64151850	ENSG00000218048	RP3-407E4.4	0.9174886940190975	0.8671449638217381	0.9451287732202709	0.0	0.0
chr6	64286376	64286525	ENSG00000112245	PTP4A1	0.9832392282699371	0.9847980321701144	1.0015853760258528	0.0	0.0
chr6	64394701	64394825	ENSG00000118482	PHF3	0.901204132241641	0.007024407174143055	0.007794468448197919	0.0	0.0
chr6	64394876	64395000	ENSG00000118482	PHF3	0.8338857822520533	0.005101708633717454	0.006117994505122038	0.0	0.0
chr6	64421901	64422025	ENSG00000118482	PHF3	0.8454596483778002	0.008972763254419215	0.010612881728460288	0.0	0.0
chr6	64422576	64422775	ENSG00000118482	PHF3	0.893238808130243	0.9054057400389808	1.0136211411752316	0.0	0.0
chr6	71235276	71235425	ENSG00000082269	FAM135A	0.930081842925001	0.9045031247936973	0.9724984222346912	0.0	0.0
chr6	71235651	71235725	ENSG00000082269	FAM135A	0.9158399092713593	0.010236137664990262	0.0111767761607311	0.0	0.0
chr6	71236101	71236200	ENSG00000082269	FAM135A	0.8986142930991985	0.8375577582943973	0.9320547922799831	0.0	0.0
chr6	72011276	72011500	ENSG00000119900	OGFRL1	0.9422415627084542	0.9102494680461193	0.9660468228865067	0.0	0.0
chr6	75963701	75963825	ENSG00000112697	TMEM30A	0.9308675784553423	0.9373925039384315	1.0070095098745586	0.0	0.0
chr6	75965226	75965250	ENSG00000112697	TMEM30A	0.9221982248758058	0.7586394398034952	0.8226424854652725	0.0	0.0
chr6	75965951	75966000	ENSG00000112697	TMEM30A	0.8602112290587737	0.8798624276456578	1.02284461992944	0.0	0.0
chr6	76425226	76425275	ENSG00000112701	SENP6	0.9143372785378918	0.04650411024454367	0.050861002100787096	0.0	0.0
chr6	76425351	76425400	ENSG00000112701	SENP6	0.9282539460996153	0.5329686011272085	0.5741624943978564	0.0	0.0
chr6	79650401	79650625	ENSG00000146243	IRAK1BP1	0.9555542483749736	0.0049286893473151246	0.005157937768260577	0.0	0.0
chr6	80751926	80752000	ENSG00000112742	TTK	0.9341695156390658	0.42305128918833623	0.4528635136406979	0.0	0.0
chr6	82458626	82458650	ENSG00000112773	FAM46A	0.7907160355353846	0.6542344931513325	0.8273949986462055	0.0	0.0
chr6	82458676	82458700	ENSG00000112773	FAM46A	0.7501717605986361	0.4217076177531555	0.5621480838156763	0.0	0.0
chr6	82458751	82458875	ENSG00000112773	FAM46A	0.8992644507947988	0.8138205381912684	0.9049846654918781	0.0	0.0
chr6	82924126	82924275	ENSG00000005700	IBTK	0.9705519205930999	0.9583676616004463	0.9874460513300434	0.0	0.0
chr6	83075351	83075750	ENSG00000146242	TPBG	0.8762827431209284	0.8605977911123899	0.9821005809692478	0.0	0.0
chr6	83075851	83076150	ENSG00000146242	TPBG	0.915122055340068	0.8051689440047	0.8798486926484267	0.0	0.0
chr6	85446376	85446500	ENSG00000112837	TBX18	0.9465345492512293	0.005541220491421797	0.005854218946160248	0.0	0.0
chr6	87971251	87971275	ENSG00000188994	ZNF292	0.5976865346741057	0.5658650361955604	0.9467588834071755	0.0	0.0
chr6	88411351	88411425	ENSG00000135334	AKIRIN2	0.8994039567826956	0.005893823569889946	0.006553032734004248	0.0	0.0
chr6	89322176	89322250	ENSG00000111880	RNGTT	0.8957950686000613	0.8498245650818065	0.9486818970882515	0.0	0.0
chr6	89793526	89793775	ENSG00000146278	PNRC1	0.930606901926649	0.8506657418097243	0.9140978215921015	0.0	0.0
chr6	89793851	89794000	ENSG00000146278	PNRC1	0.9531509098373222	0.9095937634860513	0.9543019411703599	0.0	0.0
chr6	89794251	89794275	ENSG00000146278	PNRC1	0.9069647256235976	0.9386758716948421	1.0349640346259783	0.0	0.0
chr6	89871901	89872000	ENSG00000146281	PM20D2	0.9250334405288905	0.28931527957926856	0.31276196827419744	0.0	0.0
chr6	90097026	90097125	ENSG00000025039	RRAGD	0.9318522104989909	0.4001894770332829	0.4294559507660429	0.0	0.0
chr6	90340701	90340725	ENSG00000135299	ANKRD6	0.5825952648594215	0.2788902127557847	0.4787031916970353	0.0	0.0
chr6	90573851	90573925	ENSG00000118412	CASP8AP2	0.9081290979384623	0.05375877960344941	0.05919728783659377	0.0	0.0
chr6	90660651	90660675	ENSG00000112182	BACH2	0.9997473725148952	0.7928158912777626	0.7930162289733355	0.0	0.0
chr6	91225926	91226050	ENSG00000135341	MAP3K7	0.9198563639050424	0.005625343880021172	0.006115459000729249	0.0	0.0
chr6	96034426	96034650	ENSG00000172469	MANEA	0.9194413931823121	0.8187075239583865	0.8904401411869528	0.0	0.0
chr6	96034676	96034775	ENSG00000172469	MANEA	0.8890354904785597	0.7465744228574749	0.8397577271697002	0.0	0.0
chr6	96054176	96054225	ENSG00000172469	MANEA	0.7541070838083677	0.7812373585418706	1.0359766872849019	0.0	0.0
chr6	99374726	99374800	ENSG00000112234	FBXL4	0.8256157123885371	0.6104482806612895	0.7393854931554534	0.0	0.0
chr6	100957226	100957300	ENSG00000112249	ASCC3	0.9998184316526703	0.9517299337961396	0.9519027692087634	0.0	0.0
chr6	105606476	105606550	ENSG00000132429	POPDC3	0.8494669753464519	0.5436980397742065	0.6400461178051817	0.0	0.0
chr6	107077076	107077150	ENSG00000130347	RTN4IP1	0.8963082325529486	0.7699085257315835	0.8589774117533857	0.0	0.0
chr6	108533301	108533375	ENSG00000112335	SNX3	0.8507222214144321	0.8191586953409905	0.9628979644836791	0.0	0.0
chr6	109308351	109308425	ENSG00000080546	SESN1	0.8948662309621406	0.6522015192423078	0.728825713471247	0.0	0.0
chr6	109689951	109690100	ENSG00000135535	CD164	0.9708519286160213	0.9105727825214293	0.9379110816821244	0.0	0.0
chr6	109787251	109787450	ENSG00000112365	ZBTB24	0.8851309800370412	0.8499096555540739	0.960207782489442	0.0	0.0
chr6	111196051	111196150	ENSG00000123505	AMD1	0.9495252962493291	0.8868510495621089	0.9339941263968569	0.0	0.0
chr6	111196176	111196250	ENSG00000123505	AMD1	0.8997230069804598	0.7847037251154464	0.8721614530553942	0.0	0.0
chr6	114181276	114181375	ENSG00000155130	MARCKS	0.8792188316829057	0.7690228876841756	0.8746660785372341	0.0	0.0
chr6	116600026	116600100	ENSG00000111817	DSE	0.954687523964668	0.008242520713438685	0.00863373670078853	0.0	0.0
chr6	116600201	116600350	ENSG00000111817	DSE	0.9603190419885378	0.0034268364093279877	0.0035684353423129245	0.0	0.0
chr6	116757426	116757550	ENSG00000111817	DSE	0.9258773793290206	0.8809295288046551	0.9514537761394074	0.0	0.0
chr6	116988151	116988175	ENSG00000153975	ZUFSP	0.6692893346117182	0.48966609500471797	0.7316209443092248	0.0	0.0
chr6	117824976	117825075	ENSG00000047932	GOPC	0.8618978739164397	0.9106961040499418	1.0566171835553606	0.0	0.0
chr6	117869076	117869200	ENSG00000047932	GOPC	0.9264879516992943	0.9454429696687033	1.020459001042208	0.0	0.0
chr6	117870101	117870275	ENSG00000047932	GOPC	0.9094450441960232	0.8565480025777281	0.9418359119598505	0.0	0.0
chr6	117870401	117870675	ENSG00000047932	GOPC	0.9477913825142043	0.8400822027055235	0.8863577135266193	0.0	0.0
chr6	117884251	117884400	ENSG00000047932	GOPC	0.7374949216822485	0.807677961398158	1.0951640989687357	0.0	0.0
chr6	119228726	119228850	ENSG00000111877	MCM9	0.9608012667649427	0.9458410302685211	0.9844294163487176	0.0	0.0
chr6	125404051	125404100	ENSG00000146373	RNF217	0.9351691288891425	0.8997735834236809	0.9621506480784852	0.0	0.0
chr6	125584276	125584350	ENSG00000111907	TPD52L1	0.9641896623277001	0.9397697812170375	0.9746731560555116	0.0	0.0
chr6	127439801	127439875	ENSG00000146374	RSPO3	0.09636470028347116	0.18590801918938996	1.9292128615822366	0.0	0.0
chr6	127440126	127440150	ENSG00000146374	RSPO3	0.7653193343098307	0.7986454969423233	1.0435454340932682	0.0	0.0
chr6	127440226	127440450	ENSG00000146374	RSPO3	0.9389605138887781	0.9504266738301922	1.012211546462083	0.0	0.0
chr6	127440676	127440700	ENSG00000146374	RSPO3	0.3342077117996137	0.4610883776065666	1.3796461342071866	0.0	0.0
chr6	127440726	127440850	ENSG00000146374	RSPO3	0.343593489705453	0.4974824976383588	1.447881035420164	0.0	0.0
chr6	127517126	127517300	ENSG00000146374	RSPO3	0.9249709887157321	0.9195429165850812	0.9941316298598862	0.0	0.0
chr6	127517376	127517425	ENSG00000146374	RSPO3	0.9230890906123916	0.8993410238265837	0.9742732667655587	0.0	0.0
chr6	127517551	127517875	ENSG00000146374	RSPO3	0.8845771839897162	0.540237327543584	0.6107294392411828	0.0	0.0
chr6	127517951	127517975	ENSG00000146374	RSPO3	0.7437678253247867	0.016246496568946504	0.021843505480829348	0.0	0.0
chr6	127518101	127518125	ENSG00000146374	RSPO3	0.7299825533222726	0.8410846862708676	1.1521983401424467	0.0	0.0
chr6	127608101	127608375	ENSG00000118518	RNF146	0.9041380666708856	0.6941760719154632	0.7677766233994321	0.0	0.0
chr6	127608776	127608850	ENSG00000118518	RNF146	0.9153636236400546	0.8187045877436144	0.8944036736875518	0.0	0.0
chr6	127796051	127796100	ENSG00000214338	SOGA3	0.8404504963425958	0.7601156747380309	0.904414570573568	0.0	0.0
chr6	127796126	127796225	ENSG00000214338	SOGA3	0.9040072165162241	0.8691110881579482	0.9613983962509114	0.0	0.0
chr6	131384351	131384400	ENSG00000079819	EPB41L2	0.9248062429589605	0.8135366861411989	0.8796833848550271	0.0	0.0
chr6	132211551	132211775	ENSG00000197594	ENPP1	0.9239418182720294	0.8750226907343841	0.9470538874091287	0.0	0.0
chr6	132270301	132270425	ENSG00000118523	CTGF	0.9375105542646899	0.0026952302830121305	0.0028748799368195476	0.0	0.0
chr6	133850201	133850275	ENSG00000112319	EYA4	0.9303957693310209	0.8693531478135996	0.9343906931549006	0.0	0.0
chr6	133850326	133850500	ENSG00000112319	EYA4	0.9345232954145131	0.8825024037584445	0.9443343018720636	0.0	0.0
chr6	137519276	137519400	ENSG00000027697	IFNGR1	0.8638434604106355	0.8398329948454145	0.9722050734124821	0.0	0.0
chr6	138199776	138199900	ENSG00000118503	TNFAIP3	0.8537685182120948	0.7220018904738184	0.8456646913917448	0.0	0.0
chr6	138200151	138200250	ENSG00000118503	TNFAIP3	0.8926928670714338	0.005094680211690728	0.005707091878536371	0.0	0.0
chr6	138200326	138200475	ENSG00000118503	TNFAIP3	0.8736257529442255	0.8922882561136208	1.021362125723172	0.0	0.0
chr6	138202626	138202850	ENSG00000118503	TNFAIP3	0.8794223303107107	0.9014114842936091	1.0250040887353058	0.0	0.0
chr6	138202926	138203000	ENSG00000118503	TNFAIP3	0.8197001944034111	0.007432222458513693	0.009067000970913475	0.0	0.0
chr6	138203026	138203125	ENSG00000118503	TNFAIP3	0.9426655652807945	0.008428890197452547	0.008941548846055292	0.0	0.0
chr6	139693801	139693925	ENSG00000164442	CITED2	0.8358078607399779	0.8053986094894905	0.9636169355675062	0.0	0.0
chr6	139694251	139694450	ENSG00000164442	CITED2	0.9132146514577202	0.9229260341623778	1.0106342826291232	0.0	0.0
chr6	139694601	139694675	ENSG00000164442	CITED2	0.8486198879046021	0.8708398079596134	1.0261835957084111	0.0	0.0
chr6	142539776	142539875	ENSG00000009844	VTA1	0.948864930934085	0.9363766414167698	0.9868387068483799	0.0	0.0
chr6	142691426	142691500	ENSG00000112414	GPR126	0.9231800035599107	0.8193436000995508	0.8875231232696199	0.0	0.0
chr6	142691576	142691850	ENSG00000112414	GPR126	0.9365814002654353	0.8443825931241811	0.9015581484800741	0.0	0.0
chr6	143081351	143081425	ENSG00000010818	HIVEP2	0.8935602184406904	0.008760031433384243	0.009803515479539766	0.0	0.0
chr6	143091701	143091775	ENSG00000010818	HIVEP2	0.8512208824069982	0.9986162375459794	1.1731575883361687	0.0	0.0
chr6	143092276	143092400	ENSG00000010818	HIVEP2	0.8330818635175244	0.9998406603046914	1.200170960490078	0.0	0.0
chr6	143095801	143095900	ENSG00000010818	HIVEP2	0.8719610917433296	0.8431129402363159	0.966915781242788	0.0	0.0
